[
Record [type=1, time=Wed Jul 05 14:36:36 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=start], 
Record [type=1, time=Wed Jul 05 14:36:36 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=picChange], 
Record [type=1, time=Wed Jul 05 14:36:37 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=picAccept], 
Record [type=1, time=Wed Jul 05 14:36:37 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=Password], 
Record [type=1, time=Wed Jul 05 14:37:08 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:37:09 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:37:11 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=hidePassword], 
Record [type=1, time=Wed Jul 05 14:37:18 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:37:19 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:37:23 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=PwdDisplay], 
Record [type=1, time=Wed Jul 05 14:37:23 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=PwdDisplay], 
Record [type=1, time=Wed Jul 05 14:37:24 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=create, data=Password], 
Record [type=1, time=Wed Jul 05 14:37:27 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:37:35 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:37:36 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=goodLogin], 
Record [type=1, time=Wed Jul 05 14:40:54 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:41:08 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:41:15 EDT 2017, userid=ipt101, site=studentlife, scheme=testpasstiles, mode=ImagePasstiles_Univ, event=enter, data=order inputPwd], 
